USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
vlad             26819   0.0  0.1 33732092  10272   ??  S     9:13PM   0:00.85 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent --launchd
vlad             26818   0.0  0.2 33726000  18692   ??  S     9:13PM   0:01.30 /System/Library/PrivateFrameworks/Translation.framework/translationd
_fud             26810   0.0  0.0 33689908   3368   ??  Ss    9:13PM   0:00.06 /System/Library/PrivateFrameworks/CoreSpeech.framework/Versions/A/XPCServices/CoreSpeechXPC.xpc/Contents/MacOS/CoreSpeechXPC
_fud             26804   0.0  0.1 33689696  10960   ??  Ss    9:13PM   0:00.35 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
vlad             26803   0.0  0.1 33659788   4680   ??  S     9:13PM   0:00.28 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/webinspectord
vlad             26802   0.0  0.1 33689388   5192   ??  S     9:13PM   0:00.07 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariCloudHistoryPushAgent
vlad             26801   0.0  0.1 33691012  10060   ??  S     9:13PM   0:00.17 /usr/libexec/siriknowledged
vlad             26800   0.0  0.2 34198596  15400   ??  Ss    9:13PM   0:00.28 /Applications/Safari.app/Contents/XPCServices/com.apple.Safari.SandboxBroker.xpc/Contents/MacOS/com.apple.Safari.SandboxBroker
vlad             26799   0.0  0.1 33700636  10388   ??  Ss    9:13PM   0:00.07 /Applications/AdBlock.app/Contents/PlugIns/AdBlock-Extension.appex/Contents/MacOS/AdBlock-Extension -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad             26798   0.0  0.1 33690512  10836   ??  S     9:13PM   0:00.08 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariLaunchAgent
vlad             26797   0.0  0.1 33919864  12000   ??  Ss    9:13PM   0:00.11 /Applications/Safari.app/Contents/XPCServices/com.apple.Safari.ContentBlockerLoader.xpc/Contents/MacOS/com.apple.Safari.ContentBlockerLoader
vlad             26796   0.0  0.2 33732048  20476   ??  Ss    9:13PM   0:06.09 /Applications/Grammar Checker - Ginger.app/Contents/PlugIns/Grammar Checker - Ginger Extension.appex/Contents/MacOS/Grammar Checker - Ginger Extension -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad             26795   0.0  0.2 33716868  15008   ??  Ss    9:13PM   0:00.55 /Applications/AdBlock.app/Contents/PlugIns/AdBlock-Safari-Menu.appex/Contents/MacOS/AdBlock-Safari-Menu -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad             26794   0.0  0.1 33695916   9380   ??  S     9:13PM   0:00.43 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
vlad             26793   0.0  0.1 33666400   4232   ??  Ss    9:13PM   0:01.80 /System/Library/Frameworks/ImageIO.framework/Versions/A/XPCServices/ImageIOXPCService.xpc/Contents/MacOS/ImageIOXPCService
vlad             26792   0.0  0.0 33662560   2540   ??  Ss    9:13PM   0:00.06 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
vlad             26791   0.0  0.3 33970036  27836   ??  Ss    9:13PM   2:44.75 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
vlad             26790   0.0  0.0 33660224   2036   ??  S     9:13PM   0:00.08 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
vlad             26789   0.0  2.0 136380772 170596   ??  Ss    9:13PM   1:21.38 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             26787   0.0  1.4 35967656 119088   ??  S     9:13PM   3:44.87 /Applications/Safari.app/Contents/MacOS/Safari
vlad             26745   0.0  0.1 33690112   4596   ??  Ss    8:57PM   0:00.03 /System/Library/PrivateFrameworks/BiomeStreams.framework/PlugIns/BiomeLighthousePlugin.appex/Contents/MacOS/BiomeLighthousePlugin -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad             26744   0.0  0.1 33690832   5828   ??  S     8:57PM   0:00.29 /usr/libexec/triald
_fud             26685   0.0  0.0 33689924   2272   ??  Ss    8:39PM   0:00.08 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceHID.xpc/Contents/MacOS/UARPUpdaterServiceHID
vlad             26681   0.0  0.1 33704036   9820   ??  S     8:39PM   0:00.49 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
_fud             26676   0.0  0.1 34187388   4764   ??  Ss    8:39PM   0:00.13 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
vlad             26675   0.0  0.1 33788412  11924   ??  S     8:39PM   0:00.24 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
vlad             26667   0.0  0.1 33701456   9956   ??  S     8:38PM   0:01.10 /usr/libexec/transparencyd
vlad             26658   0.0  0.1 33695400   8276   ??  S     8:38PM   0:00.63 cloudphotod
vlad             26654   0.0  0.1 33694592  10320   ??  S     8:38PM   0:00.56 /System/Library/CoreServices/mapspushd
vlad             26653   0.0  0.1 33692160   8740   ??  S     8:38PM   0:00.25 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
vlad             26650   0.0  0.1 33731772  10256   ??  S     8:38PM   0:01.65 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
root             26649   0.0  0.0 33690676   2952   ??  Ss    8:38PM   0:00.08 /usr/libexec/aned
vlad             26642   0.0  0.1 33718232  10100   ??  S     8:38PM   0:02.16 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
_fud             26641   0.0  0.0 34155104   1828   ??  Ss    8:38PM   0:00.08 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
_fud             26640   0.0  0.1 33692464   6476   ??  Ss    8:38PM   0:00.11 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd 120
root             26565   0.0  0.1 33694352   4324   ??  Ss    7:17PM   0:00.22 /usr/libexec/symptomsd-diag
root             26564   0.0  0.2 33701372  14852   ??  Ss    7:17PM   0:19.40 /usr/libexec/PerfPowerServices
vlad             26344   0.0  0.1 33695744   9904   ??  S     7:07PM   0:00.74 /usr/libexec/adprivacyd
root             25793   0.0  0.1 33661556   4360   ??  Ss    6:42PM   0:00.09 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
vlad             25753   0.0  0.1 33660416   4440   ??  Ss    6:41PM   0:00.20 /System/Library/PrivateFrameworks/IDSBlastDoorSupport.framework/Versions/A/XPCServices/IDSBlastDoorService.xpc/Contents/MacOS/IDSBlastDoorService
vlad             25750   0.0  0.5 33727864  39124   ??  Ss    6:41PM   0:13.20 /System/Library/CoreServices/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad             25747   0.0  0.2 33963232  16260   ??  S     6:41PM   0:03.62 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
root             25746   0.0  0.0 33661320   3536   ??  Ss    6:41PM   0:00.10 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
vlad             25745   0.0  0.2 33702884  13856   ??  S     6:41PM   0:01.39 /usr/libexec/networkserviceproxy
vlad             25744   0.0  0.1 34275676  10668   ??  S     6:41PM   0:00.26 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
vlad             25704   0.0  0.1 33697456  12128   ??  S     6:39PM   0:01.41 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
vlad             25687   0.0  0.0 33690644   3340   ??  Ss    6:38PM   0:00.23 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
vlad             25685   0.0  0.0 33660256   3728   ??  S     6:38PM   0:00.12 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
root             25684   0.0  0.0 33660712   2796   ??  Ss    6:38PM   0:00.05 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedTaskService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedTaskService
